"日本語","中国語","拼音","例文","例文拼音","例文和訳","HSKレベル"
"私","我","wǒ","我是学生。","wǒ shì xué shēng.","私は学生です。","1"
"あなた","你","nǐ","你好吗？","nǐ hǎo ma?","お元気ですか？","1"
"彼","他","tā","他是老师。","tā shì lǎo shī.","彼は先生です。","1"
"彼女","她","tā","她很漂亮。","tā hěn piào liang.","彼女はとても綺麗です。","1"
"これ","这","zhè","这是什么？","zhè shì shén me?","これは何ですか？","1"
"それ","那","nà","那个很好。","nà ge hěn hǎo.","それはとても良いです。","1"
"どこ","哪儿","nǎr","你去哪儿？","nǐ qù nǎr?","どこに行きますか？","1"
"何","什么","shén me","这是什么？","zhè shì shén me?","これは何ですか？","1"
"誰","谁","shéi","他是谁？","tā shì shéi?","彼は誰ですか？","1"
"いくつ","几","jǐ","你几岁？","nǐ jǐ suì?","あなたは何歳ですか？","1"
"いくら","多少","duō shao","这个多少钱？","zhè ge duō shao qián?","これはいくらですか？","1"
"一","一","yī","我有一本书。","wǒ yǒu yī běn shū.","私は本を一冊持っています。","1"
"二","二","èr","我要二十块钱。","wǒ yào èr shí kuài qián.","私は20元必要です。","1"
"三","三","sān","三点钟见面。","sān diǎn zhōng jiàn miàn.","3時に会いましょう。","1"
"四","四","sì","我家有四口人。","wǒ jiā yǒu sì kǒu rén.","うちは4人家族です。","1"
"五","五","wǔ","五分钟后回来。","wǔ fēn zhōng hòu huí lái.","5分後に戻ります。","1"
"六","六","liù","六点下班。","liù diǎn xià bān.","6時に仕事が終わります。","1"
"七","七","qī","今天是星期七。","jīn tiān shì xīng qī qī.","今日は日曜日です。","1"
"八","八","bā","八月很热。","bā yuè hěn rè.","8月はとても暑いです。","1"
"九","九","jiǔ","九点睡觉。","jiǔ diǎn shuì jiào.","9時に寝ます。","1"
"十","十","shí","十个苹果。","shí ge píng guǒ.","10個のりんご。","1"
"人","人","rén","他是好人。","tā shì hǎo rén.","彼は良い人です。","1"
"大","大","dà","这个房子很大。","zhè ge fáng zi hěn dà.","この家はとても大きいです。","1"
"小","小","xiǎo","我有一个小狗。","wǒ yǒu yī ge xiǎo gǒu.","私は小さな犬を飼っています。","1"
"多","多","duō","人很多。","rén hěn duō.","人がたくさんいます。","1"
"少","少","shǎo","钱太少了。","qián tài shǎo le.","お金が少なすぎます。","1"
"好","好","hǎo","今天天气很好。","jīn tiān tiān qì hěn hǎo.","今日は天気がとても良いです。","1"
"はい","是","shì","是的，我知道。","shì de, wǒ zhī dào.","はい、知っています。","1"
"いいえ","不","bù","不，我不去。","bù, wǒ bù qù.","いいえ、行きません。","1"
"ある/いる","有","yǒu","我有一个朋友。","wǒ yǒu yī ge péng you.","私には友達がいます。","1"
"来る","来","lái","他明天来。","tā míng tiān lái.","彼は明日来ます。","1"
"行く","去","qù","我去学校。","wǒ qù xué xiào.","私は学校に行きます。","1"
"見る","看","kàn","我看电视。","wǒ kàn diàn shì.","私はテレビを見ます。","1"
"聞く","听","tīng","我听音乐。","wǒ tīng yīn yuè.","私は音楽を聞きます。","1"
"話す","说","shuō","他说中文。","tā shuō zhōng wén.","彼は中国語を話します。","1"
"読む","读","dú","我读书。","wǒ dú shū.","私は本を読みます。","1"
"書く","写","xiě","我写汉字。","wǒ xiě hàn zì.","私は漢字を書きます。","1"
"食べる","吃","chī","我吃饭。","wǒ chī fàn.","私はご飯を食べます。","1"
"飲む","喝","hē","我喝水。","wǒ hē shuǐ.","私は水を飲みます。","1"
"する","做","zuò","我做作业。","wǒ zuò zuò yè.","私は宿題をします。","1"
"買う","买","mǎi","我买东西。","wǒ mǎi dōng xi.","私は買い物をします。","1"
"家","家","jiā","我回家。","wǒ huí jiā.","私は家に帰ります。","1"
"学校","学校","xué xiào","学校很大。","xué xiào hěn dà.","学校はとても大きいです。","1"
"本","书","shū","这本书很好。","zhè běn shū hěn hǎo.","この本はとても良いです。","1"
"水","水","shuǐ","我要喝水。","wǒ yào hē shuǐ.","私は水を飲みたいです。","1"
"お金","钱","qián","我没有钱。","wǒ méi yǒu qián.","私はお金がありません。","1"
"今日","今天","jīn tiān","今天是星期一。","jīn tiān shì xīng qī yī.","今日は月曜日です。","1"
"明日","明天","míng tiān","明天见！","míng tiān jiàn!","また明日！","1"
"昨日","昨天","zuó tiān","昨天很忙。","zuó tiān hěn máng.","昨日はとても忙しかったです。","1"
"年","年","nián","今年我二十岁。","jīn nián wǒ èr shí suì.","今年私は20歳です。","1"
"月","月","yuè","这个月很忙。","zhè ge yuè hěn máng.","今月はとても忙しいです。","1"
"日","日","rì","今天天气好。","jīn tiān tiān qì hǎo.","今日は天気が良いです。","1"
"時間","时间","shí jiān","我没有时间。","wǒ méi yǒu shí jiān.","私には時間がありません。","2"
"働く","工作","gōng zuò","我在银行工作。","wǒ zài yín háng gōng zuò.","私は銀行で働いています。","2"
"勉強","学习","xué xí","我学习中文。","wǒ xué xí zhōng wén.","私は中国語を勉強しています。","2"
"好き","喜欢","xǐ huan","我喜欢看电影。","wǒ xǐ huan kàn diàn yǐng.","私は映画を見るのが好きです。","2"
"思う","觉得","jué de","我觉得很有趣。","wǒ jué de hěn yǒu qù.","私はとても面白いと思います。","2"
"知る","知道","zhī dào","我知道他的名字。","wǒ zhī dào tā de míng zi.","私は彼の名前を知っています。","2"
"住む","住","zhù","我住在北京。","wǒ zhù zài běi jīng.","私は北京に住んでいます。","2"
"起きる","起床","qǐ chuáng","我七点起床。","wǒ qī diǎn qǐ chuáng.","私は7時に起きます。","2"
"寝る","睡觉","shuì jiào","我十点睡觉。","wǒ shí diǎn shuì jiào.","私は10時に寝ます。","2"
"出かける","出去","chū qù","我要出去买东西。","wǒ yào chū qù mǎi dōng xi.","私は買い物に出かけます。","2"
"帰る","回来","huí lái","我五点回来。","wǒ wǔ diǎn huí lái.","私は5時に帰ってきます。","2"
"会う","见面","jiàn miàn","我们明天见面。","wǒ men míng tiān jiàn miàn.","私たちは明日会います。","2"
"待つ","等","děng","我等你。","wǒ děng nǐ.","私はあなたを待ちます。","2"
"手伝う","帮助","bāng zhù","我帮助朋友。","wǒ bāng zhù péng you.","私は友達を手伝います。","2"
"運動","运动","yùn dòng","我喜欢运动。","wǒ xǐ huan yùn dòng.","私は運動が好きです。","2"
"音楽","音乐","yīn yuè","我听音乐。","wǒ tīng yīn yuè.","私は音楽を聞きます。","2"
"映画","电影","diàn yǐng","这个电影很好看。","zhè ge diàn yǐng hěn hǎo kàn.","この映画はとても面白いです。","2"
"料理","菜","cài","中国菜很好吃。","zhōng guó cài hěn hǎo chī.","中華料理はとても美味しいです。","2"
"美味しい","好吃","hǎo chī","这个菜很好吃。","zhè ge cài hěn hǎo chī.","この料理はとても美味しいです。","2"
"高い","贵","guì","这个太贵了。","zhè ge tài guì le.","これは高すぎます。","2"
"安い","便宜","pián yi","这个很便宜。","zhè ge hěn pián yi.","これはとても安いです。","2"
"新しい","新","xīn","这是新车。","zhè shì xīn chē.","これは新しい車です。","2"
"古い","旧","jiù","这是旧书。","zhè shì jiù shū.","これは古い本です。","2"
"忙しい","忙","máng","我很忙。","wǒ hěn máng.","私はとても忙しいです。","2"
"暇","有空","yǒu kòng","你有空吗？","nǐ yǒu kòng ma?","時間ありますか？","2"
"早い","早","zǎo","我起得很早。","wǒ qǐ de hěn zǎo.","私はとても早く起きます。","2"
"遅い","晚","wǎn","今天我来晚了。","jīn tiān wǒ lái wǎn le.","今日私は遅れてきました。","2"
"速い","快","kuài","你走得很快。","nǐ zǒu de hěn kuài.","あなたはとても速く歩きます。","2"
"遅い","慢","màn","车开得很慢。","chē kāi de hěn màn.","車はとてもゆっくり走ります。","2"
"天気","天气","tiān qì","今天天气很好。","jīn tiān tiān qì hěn hǎo.","今日は天気がとても良いです。","2"
"雨","雨","yǔ","今天下雨。","jīn tiān xià yǔ.","今日は雨が降っています。","2"
"雪","雪","xuě","冬天下雪。","dōng tiān xià xuě.","冬は雪が降ります。","2"
"暑い","热","rè","夏天很热。","xià tiān hěn rè.","夏はとても暑いです。","2"
"寒い","冷","lěng","今天很冷。","jīn tiān hěn lěng.","今日はとても寒いです。","2"
"服","衣服","yī fu","这件衣服很漂亮。","zhè jiàn yī fu hěn piào liang.","この服はとても綺麗です。","2"
"靴","鞋","xié","我买了新鞋。","wǒ mǎi le xīn xié.","私は新しい靴を買いました。","2"
"体","身体","shēn tǐ","我身体很好。","wǒ shēn tǐ hěn hǎo.","私は体調がとても良いです。","2"
"目","眼睛","yǎn jing","她的眼睛很大。","tā de yǎn jing hěn dà.","彼女の目はとても大きいです。","2"
"口","嘴","zuǐ","我嘴疼。","wǒ zuǐ téng.","私は口が痛いです。","2"
"手","手","shǒu","我的手很冷。","wǒ de shǒu hěn lěng.","私の手はとても冷たいです。","2"
"足","脚","jiǎo","我脚疼。","wǒ jiǎo téng.","私は足が痛いです。","2"
"努力","努力","nǔ lì","我会努力学习。","wǒ huì nǔ lì xué xí.","私は一生懸命勉強します。","3"
"決定","决定","jué dìng","我决定去中国。","wǒ jué dìng qù zhōng guó.","私は中国に行くことに決めました。","3"
"準備","准备","zhǔn bèi","我在准备考试。","wǒ zài zhǔn bèi kǎo shì.","私は試験の準備をしています。","3"
"完成","完成","wán chéng","我完成了作业。","wǒ wán chéng le zuò yè.","私は宿題を完成させました。","3"
"始める","开始","kāi shǐ","我们开始上课吧。","wǒ men kāi shǐ shàng kè ba.","授業を始めましょう。","3"
"終わる","结束","jié shù","电影结束了。","diàn yǐng jié shù le.","映画が終わりました。","3"
"続ける","继续","jì xù","请继续说。","qǐng jì xù shuō.","続けて話してください。","3"
"停める","停止","tíng zhǐ","请停止说话。","qǐng tíng zhǐ shuō huà.","話すのを止めてください。","3"
"選ぶ","选择","xuǎn zé","请选择你喜欢的。","qǐng xuǎn zé nǐ xǐ huan de.","あなたの好きなものを選んでください。","3"
"比較","比较","bǐ jiào","请比较这两个。","qǐng bǐ jiào zhè liǎng ge.","この2つを比較してください。","3"
"発見","发现","fā xiàn","我发现了问题。","wǒ fā xiàn le wèn tí.","私は問題を発見しました。","3"
"研究","研究","yán jiū","我研究中国历史。","wǒ yán jiū zhōng guó lì shǐ.","私は中国史を研究しています。","3"
"分析","分析","fēn xī","请分析这个问题。","qǐng fēn xī zhè ge wèn tí.","この問題を分析してください。","3"
"説明","说明","shuō míng","请说明一下。","qǐng shuō míng yī xià.","説明してください。","3"
"討論","讨论","tǎo lùn","我们讨论这个话题。","wǒ men tǎo lùn zhè ge huà tí.","私たちはこの話題について討論します。","3"
"発表","发表","fā biǎo","明天我要发表演讲。","míng tiān wǒ yào fā biǎo yǎn jiǎng.","明日私は講演を発表します。","3"
"参加","参加","cān jiā","我参加会议。","wǒ cān jiā huì yì.","私は会議に参加します。","3"
"組織","组织","zǔ zhī","我们组织活动。","wǒ men zǔ zhī huó dòng.","私たちは活動を組織します。","3"
"管理","管理","guǎn lǐ","他管理这个项目。","tā guǎn lǐ zhè ge xiàng mù.","彼はこのプロジェクトを管理します。","3"
"責任","责任","zé rèn","这是我的责任。","zhè shì wǒ de zé rèn.","これは私の責任です。","3"
"経験","经验","jīng yàn","他有很多经验。","tā yǒu hěn duō jīng yàn.","彼はたくさんの経験があります。","3"
"能力","能力","néng lì","我的能力有限。","wǒ de néng lì yǒu xiàn.","私の能力は限られています。","3"
"機会","机会","jī huì","这是好机会。","zhè shì hǎo jī huì.","これは良い機会です。","3"
"条件","条件","tiáo jiàn","条件很重要。","tiáo jiàn hěn zhòng yào.","条件はとても重要です。","3"
"環境","环境","huán jìng","环境很好。","huán jìng hěn hǎo.","環境がとても良いです。","3"
"社会","社会","shè huì","现代社会很复杂。","xiàn dài shè huì hěn fù zá.","現代社会はとても複雑です。","3"
"文化","文化","wén huà","中国文化很有趣。","zhōng guó wén huà hěn yǒu qù.","中国文化はとても興味深いです。","3"
"歴史","历史","lì shǐ","我学习中国历史。","wǒ xué xí zhōng guó lì shǐ.","私は中国史を学習しています。","3"
"政治","政治","zhèng zhì","我不谈政治。","wǒ bù tán zhèng zhì.","私は政治の話はしません。","3"
"経済","经济","jīng jì","经济发展很快。","jīng jì fā zhǎn hěn kuài.","経済発展がとても速いです。","3"
"教育","教育","jiào yù","教育很重要。","jiào yù hěn zhòng yào.","教育はとても重要です。","3"
"科学","科学","kē xué","科学技术发达。","kē xué jì shù fā dá.","科学技術が発達しています。","3"
"技術","技术","jì shù","这是新技术。","zhè shì xīn jì shù.","これは新しい技術です。","3"
"交通","交通","jiāo tōng","交通很方便。","jiāo tōng hěn fāng biàn.","交通がとても便利です。","3"
"旅行","旅游","lǚ yóu","我喜欢旅游。","wǒ xǐ huan lǚ yóu.","私は旅行が好きです。","3"
"健康","健康","jiàn kāng","健康最重要。","jiàn kāng zuì zhòng yào.","健康が最も重要です。","3"
"安全","安全","ān quán","安全第一。","ān quán dì yī.","安全第一。","3"
"危険","危险","wēi xiǎn","这里很危险。","zhè lǐ hěn wēi xiǎn.","ここはとても危険です。","3"
"成功","成功","chéng gōng","我希望你成功。","wǒ xī wàng nǐ chéng gōng.","あなたの成功を願っています。","3"
"失敗","失败","shī bài","失败是成功之母。","shī bài shì chéng gōng zhī mǔ.","失敗は成功の母です。","3"
"態度","态度","tài du","他的态度很好。","tā de tài du hěn hǎo.","彼の態度はとても良いです。","4"
"性格","性格","xìng gé","她性格很开朗。","tā xìng gé hěn kāi lǎng.","彼女の性格はとても明るいです。","4"
"習慣","习惯","xí guàn","我习惯早起。","wǒ xí guàn zǎo qǐ.","私は早起きの習慣があります。","4"
"興味","兴趣","xìng qù","我对音乐有兴趣。","wǒ duì yīn yuè yǒu xìng qù.","私は音楽に興味があります。","4"
"趣味","爱好","ài hào","我的爱好是读书。","wǒ de ài hào shì dú shū.","私の趣味は読書です。","4"
"特徴","特点","tè diǎn","这个城市的特点是什么？","zhè ge chéng shì de tè diǎn shì shén me?","この都市の特徴は何ですか？","4"
"優点","优点","yōu diǎn","他有很多优点。","tā yǒu hěn duō yōu diǎn.","彼にはたくさんの長所があります。","4"
"欠点","缺点","quē diǎn","每个人都有缺点。","měi ge rén dōu yǒu quē diǎn.","誰にでも欠点があります。","4"
"影響","影响","yǐng xiǎng","这件事影响很大。","zhè jiàn shì yǐng xiǎng hěn dà.","この件の影響はとても大きいです。","4"
"関係","关系","guān xi","我们关系很好。","wǒ men guān xi hěn hǎo.","私たちの関係はとても良いです。","4"
"原因","原因","yuán yīn","什么原因？","shén me yuán yīn?","何が原因ですか？","4"
"結果","结果","jié guǒ","结果很好。","jié guǒ hěn hǎo.","結果はとても良いです。","4"
"目的","目的","mù dì","你的目的是什么？","nǐ de mù dì shì shén me?","あなたの目的は何ですか？","4"
"方法","方法","fāng fǎ","这个方法很好。","zhè ge fāng fǎ hěn hǎo.","この方法はとても良いです。","4"
"過程","过程","guò chéng","学习是一个过程。","xué xí shì yī ge guò chéng.","学習は一つのプロセスです。","4"
"進歩","进步","jìn bù","你进步很快。","nǐ jìn bù hěn kuài.","あなたの進歩はとても速いです。","4"
"発展","发展","fā zhǎn","经济发展很快。","jīng jì fā zhǎn hěn kuài.","経済発展がとても速いです。","4"
"変化","变化","biàn huà","社会变化很大。","shè huì biàn huà hěn dà.","社会の変化がとても大きいです。","4"
"改善","改善","gǎi shàn","我们要改善环境。","wǒ men yào gǎi shàn huán jìng.","私たちは環境を改善する必要があります。","4"
"向上","提高","tí gāo","我要提高中文水平。","wǒ yào tí gāo zhōng wén shuǐ píng.","私は中国語のレベルを向上させたいです。","4"
"計画","计划","jì huà","你有什么计划？","nǐ yǒu shén me jì huà?","どんな計画がありますか？","4"
"予定","安排","ān pái","明天的安排是什么？","míng tiān de ān pái shì shén me?","明日の予定は何ですか？","4"
"約束","约定","yuē dìng","我们约定明天见面。","wǒ men yuē dìng míng tiān jiàn miàn.","私たちは明日会う約束をしました。","4"
"要求","要求","yāo qiú","老师的要求很严格。","lǎo shī de yāo qiú hěn yán gé.","先生の要求はとても厳しいです。","4"
"希望","希望","xī wàng","我希望你成功。","wǒ xī wàng nǐ chéng gōng.","あなたの成功を希望します。","4"
"期待","期待","qī dài","我期待你的回答。","wǒ qī dài nǐ de huí dá.","あなたの回答を期待しています。","4"
"予想","预测","yù cè","天气预测说明天下雨。","tiān qì yù cè shuō míng tiān xià yǔ.","天気予報では明日雨だと言っています。","4"
"判断","判断","pàn duàn","你的判断是对的。","nǐ de pàn duàn shì duì de.","あなたの判断は正しいです。","4"
"意見","意见","yì jiàn","你有什么意见？","nǐ yǒu shén me yì jiàn?","どんな意見がありますか？","4"
"建議","建议","jiàn yì","我建议你早点休息。","wǒ jiàn yì nǐ zǎo diǎn xiū xi.","早めに休むことをお勧めします。","4"
"提案","提议","tí yì","我有个提议。","wǒ yǒu ge tí yì.","提案があります。","4"
"批判","批评","pī píng","老师批评了我。","lǎo shī pī píng le wǒ.","先生は私を批判しました。","4"
"賞賛","表扬","biǎo yáng","老师表扬了他。","lǎo shī biǎo yáng le tā.","先生は彼を褒めました。","4"
"励まし","鼓励","gǔ lì","谢谢你的鼓励。","xiè xie nǐ de gǔ lì.","励ましてくれてありがとう。","4"
"支持","支持","zhī chí","谢谢你的支持。","xiè xie nǐ de zhī chí.","支持してくれてありがとう。","4"
"反対","反对","fǎn duì","我反对这个计划。","wǒ fǎn duì zhè ge jì huà.","私はこの計画に反対です。","4"
"賛成","赞成","zàn chéng","我赞成你的意见。","wǒ zàn chéng nǐ de yì jiàn.","あなたの意見に賛成です。","4"
"合意","同意","tóng yì","我同意你的看法。","wǒ tóng yì nǐ de kàn fǎ.","あなたの見方に同意します。","4"
"拒絶","拒绝","jù jué","我拒绝这个提议。","wǒ jù jué zhè ge tí yì.","この提案を拒否します。","4"
"受け入れ","接受","jiē shòu","我接受你的道歉。","wǒ jiē shòu nǐ de dào qiàn.","あなたの謝罪を受け入れます。","4"
"価値","价值","jiā zhí","这本书很有价值。","zhè běn shū hěn yǒu jiā zhí.","この本はとても価値があります。","5"
"意義","意义","yì yì","这件事很有意义。","zhè jiàn shì hěn yǒu yì yì.","この件はとても意義があります。","5"
"効果","效果","xiào guǒ","这个药效果很好。","zhè ge yào xiào guǒ hěn hǎo.","この薬はとても効果があります。","5"
"質","质量","zhì liàng","这个产品质量很好。","zhè ge chǎn pǐn zhì liàng hěn hǎo.","この製品の品質はとても良いです。","5"
"数量","数量","shù liàng","数量不够。","shù liàng bù gòu.","数量が足りません。","5"
"規模","规模","guī mó","这个项目规模很大。","zhè ge xiàng mù guī mó hěn dà.","このプロジェクトの規模はとても大きいです。","5"
"範囲","范围","fàn wéi","这个在我的范围内。","zhè ge zài wǒ de fàn wéi nèi.","これは私の範囲内です。","5"
"程度","程度","chéng dù","污染程度很严重。","wū rǎn chéng dù hěn yán zhòng.","汚染の程度がとても深刻です。","5"
"水準","水平","shuǐ píng","我的中文水平不高。","wǒ de zhōng wén shuǐ píng bù gāo.","私の中国語のレベルは高くありません。","5"
"標準","标准","biāo zhǔn","这是国际标准。","zhè shì guó jì biāo zhǔn.","これは国際基準です。","5"
"原則","原则","yuán zé","这是我的原则。","zhè shì wǒ de yuán zé.","これは私の原則です。","5"
"規則","规则","guī zé","请遵守规则。","qǐng zūn shǒu guī zé.","ルールを守ってください。","5"
"法律","法律","fǎ lǜ","法律面前人人平等。","fǎ lǜ miàn qián rén rén píng děng.","法の前では人は皆平等です。","5"
"権利","权利","quán lì","这是我的权利。","zhè shì wǒ de quán lì.","これは私の権利です。","5"
"義務","义务","yì wù","这是我的义务。","zhè shì wǒ de yì wù.","これは私の義務です。","5"
"競争","竞争","jìng zhēng","市场竞争很激烈。","shì chǎng jìng zhēng hěn jī liè.","市場競争がとても激しいです。","5"
"協力","合作","hé zuò","我们需要合作。","wǒ men xū yào hé zuò.","私たちは協力する必要があります。","5"
"交流","交流","jiāo liú","文化交流很重要。","wén huà jiāo liú hěn zhòng yào.","文化交流はとても重要です。","5"
"疎通","沟通","gōu tōng","我们需要沟通。","wǒ men xū yào gōu tōng.","私たちはコミュニケーションが必要です。","5"
"理解","理解","lǐ jiě","我理解你的感受。","wǒ lǐ jiě nǐ de gǎn shòu.","あなたの気持ちを理解します。","5"
"誤解","误解","wù jiě","这是个误解。","zhè shì ge wù jiě.","これは誤解です。","5"
"矛盾","矛盾","máo dùn","这里有矛盾。","zhè lǐ yǒu máo dùn.","ここに矛盾があります。","5"
"衝突","冲突","chōng tū","我们要避免冲突。","wǒ men yào bì miǎn chōng tū.","私たちは衝突を避ける必要があります。","5"
"解決","解决","jiě jué","我们要解决问题。","wǒ men yào jiě jué wèn tí.","私たちは問題を解決する必要があります。","5"
"処理","处理","chǔ lǐ","怎么处理这个问题？","zěn me chǔ lǐ zhè ge wèn tí?","この問題をどう処理しますか？","5"
"対応","对待","duì dài","他对待工作很认真。","tā duì dài gōng zuò hěn rèn zhēn.","彼は仕事に対してとても真剣です。","5"
"評価","评价","píng jià","你对他的评价如何？","nǐ duì tā de píng jià rú hé?","彼に対するあなたの評価はいかがですか？","5"
"判定","判定","pàn dìng","法官做出了判定。","fǎ guān zuò chū le pàn dìng.","裁判官が判定を下しました。","5"
"証明","证明","zhèng míng","事实证明他是对的。","shì shí zhèng míng tā shì duì de.","事実が彼が正しいことを証明しています。","5"
"概念","概念","gài niàn","这个概念很抽象。","zhè ge gài niàn hěn chōu xiàng.","この概念はとても抽象的です。","6"
"理論","理论","lǐ lùn","理论和实践要结合。","lǐ lùn hé shí jiàn yào jié hé.","理論と実践を結合する必要があります。","6"
"実践","实践","shí jiàn","实践是检验真理的标准。","shí jiàn shì jiǎn yàn zhēn lǐ de biāo zhǔn.","実践は真理を検証する基準です。","6"
"抽象","抽象","chōu xiàng","这个概念太抽象了。","zhè ge gài niàn tài chōu xiàng le.","この概念は抽象的すぎます。","6"
"具体","具体","jù tǐ","请说得具体一点。","qǐng shuō de jù tǐ yī diǎn.","もう少し具体的に言ってください。","6"
"複雑","复杂","fù zá","这个问题很复杂。","zhè ge wèn tí hěn fù zá.","この問題はとても複雑です。","6"
"単純","简单","jiǎn dān","这个问题很简单。","zhè ge wèn tí hěn jiǎn dān.","この問題はとても簡単です。","6"
"精確","精确","jīng què","这个数据很精确。","zhè ge shù jù hěn jīng què.","このデータはとても正確です。","6"
"曖昧","模糊","mó hu","这个说法很模糊。","zhè ge shuō fǎ hěn mó hu.","この言い方はとても曖昧です。","6"
"客観","客观","kè guān","我们要客观分析。","wǒ men yào kè guān fēn xī.","私たちは客観的に分析する必要があります。","6"
"主観","主观","zhǔ guān","这是主观看法。","zhè shì zhǔ guān kàn fǎ.","これは主観的な見方です。","6"
"全面","全面","quán miàn","我们要全面考虑。","wǒ men yào quán miàn kǎo lǜ.","私たちは全面的に考慮する必要があります。","6"
"部分","部分","bù fen","这只是部分原因。","zhè zhǐ shì bù fen yuán yīn.","これは部分的な原因に過ぎません。","6"
"整体","整体","zhěng tǐ","要从整体考虑。","yào cóng zhěng tǐ kǎo lǜ.","全体から考慮する必要があります。","6"
"系統","系统","xì tǒng","这是一个完整的系统。","zhè shì yī ge wán zhěng de xì tǒng.","これは完全なシステムです。","6"
"構造","结构","jié gòu","这个结构很复杂。","zhè ge jié gòu hěn fù zá.","この構造はとても複雑です。","6"
"機能","功能","gōng néng","这个功能很有用。","zhè ge gōng néng hěn yǒu yòng.","この機能はとても有用です。","6"
"効率","效率","xiào lǜ","我们要提高效率。","wǒ men yào tí gāo xiào lǜ.","私たちは効率を向上させる必要があります。","6"
"創新","创新","chuàng xīn","我们需要创新思维。","wǒ men xū yào chuàng xīn sī wéi.","私たちは革新的思考が必要です。","6"
"革新","革新","gé xīn","技术革新很重要。","jì shù gé xīn hěn zhòng yào.","技術革新はとても重要です。","6"